+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                         ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; inst2|altfp_convert2_altfp_convert_3tm_component|max_shift_compare|auto_generated                                                                                             ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|cmpr3|auto_generated                                                                                                         ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|cmpr2|auto_generated                                                                                                         ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|cmpr1|auto_generated                                                                                                         ; 16    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|add_sub9|auto_generated                                                                                                      ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|add_sub8|auto_generated                                                                                                      ; 30    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|add_sub7|auto_generated                                                                                                      ; 62    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|add_sub5|auto_generated                                                                                                      ; 12    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|add_sub4|auto_generated                                                                                                      ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component|altbarrel_shift6                                                                                                             ; 63    ; 33             ; 0            ; 33             ; 54     ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|altfp_convert2_altfp_convert_3tm_component                                                                                                                              ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2                                                                                                                                                                         ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; 1200_InHex|lpm_constant2_lpm_constant_i19_component                                                                                                                           ; 0     ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; 1200_InHex                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|remainder_mult_0|auto_generated                                                                              ; 54    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|q_partial_1|auto_generated                                                                                   ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|q_partial_0|auto_generated                                                                                   ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|b1_prod|auto_generated                                                                                       ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|a1_prod|auto_generated                                                                                       ; 38    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|cmpr2|auto_generated                                                                                         ; 46    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|remainder_sub_0|auto_generated                                                                               ; 100   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|quotient_process|auto_generated                                                                              ; 63    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
