# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: C:\Users\Aluno\Documents\Igor Macedo\Sistemas Digitais\ufrn-sistemasdigitais\unidade3\pin_assignment_outTime.csv
# Generated on: Tue Jun 20 10:02:37 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
CLOCK_50MHz,Input,PIN_N2,2,B2_N1,,,,
Led3,Output,PIN_AE22,7,B7_N0,,,,
PWM_Led1,Output,PIN_Y18,7,B7_N0,,,,
PWM_Led2,Output,PIN_AA20,7,B7_N0,,,,
PWM_M[0],Output,,,,,,,
PWM_M[1],Output,,,,,,,
PWM_M[2],Output,,,,,,,
PWM_M[3],Output,,,,,,,
PWM_M[4],Output,,,,,,,
PWM_M[5],Output,,,,,,,
PWM_M[6],Output,,,,,,,
PWM_M[7],Output,,,,,,,
PWM_M[8],Output,,,,,,,
PWM_M[9],Output,,,,,,,
PWM_Motor,Output,PIN_D25,5,B5_N0,,,,
button,Input,PIN_G26,5,B5_N0,,,,
sensor[0],Input,PIN_N25,5,B5_N1,,,,
sensor[1],Input,PIN_N26,5,B5_N1,,,,
sensor[2],Input,PIN_P25,6,B6_N0,,,,
sensor[3],Input,PIN_AE14,7,B7_N1,,,,
sensor[4],Input,PIN_AF14,7,B7_N1,,,,
sensor[5],Input,PIN_AD13,8,B8_N0,,,,
sensor[6],Input,PIN_AC13,8,B8_N0,,,,
sensor[7],Input,PIN_C13,3,B3_N0,,,,
sensor[8],Input,PIN_B13,4,B4_N1,,,,
sensor[9],Input,PIN_A13,4,B4_N1,,,,
time_now[0],Output,PIN_AE23,7,B7_N0,,,,
time_now[1],Output,PIN_AF23,7,B7_N0,,,,
time_now[2],Output,PIN_AB21,7,B7_N0,,,,
time_now[3],Output,PIN_AC22,7,B7_N0,,,,
time_now[4],Output,PIN_AD22,7,B7_N0,,,,
time_now[5],Output,PIN_AD23,7,B7_N0,,,,
time_now[6],Output,PIN_AD21,7,B7_N0,,,,
time_now[7],Output,PIN_AC21,7,B7_N0,,,,
time_now[8],Output,PIN_AA14,7,B7_N1,,,,
time_now[9],Output,PIN_Y13,7,B7_N1,,,,
time_now[10],Output,PIN_AA13,7,B7_N1,,,,
time_now[11],Output,PIN_AC14,7,B7_N1,,,,
time_now[12],Output,PIN_AD15,7,B7_N1,,,,
time_now[13],Output,PIN_AE15,7,B7_N1,,,,
time_now[14],Output,PIN_AF13,8,B8_N0,,,,
time_now[15],Output,PIN_AE13,8,B8_N0,,,,
time_now[16],Output,PIN_AE12,8,B8_N0,,,,
time_now[17],Output,PIN_AD12,8,B8_N0,,,,
